"","player","year","Rd1","Rd2","Rd3","Rd4"
"1","Matt Kuchar",2014,66,73,70,64
"2","Luke Donald",2014,70,69,66,69
"3","John Huh",2014,71,68,68,68
"4","Ben Martin",2014,69,68,71,67
"5","Scott Brown",2014,70,69,71,67
"6","Brian Stuard",2014,69,72,68,68
"7","Jim Furyk",2014,71,66,71,70
"8","Brian Harman",2014,69,71,69,69
"9","Russell Knox",2014,69,72,68,70
"10","William McGirt",2014,66,76,71,66
"11","Rory Sabbatini",2014,69,72,70,68
"12","Stuart Appleby",2014,73,73,67,67
"13","Matt Every",2014,69,70,70,71
"14","Jason Kokrak",2014,71,73,66,70
"15","Charl Schwartzel",2014,70,70,68,72
"16","Jordan Spieth",2014,69,74,70,67
"17","Nicholas Thompson",2014,70,70,68,72
"18","Paul Casey",2014,74,67,72,68
"19","J.B. Holmes",2014,72,71,69,69
"20","Ryo Ishikawa",2014,77,68,67,69
"21","Pat Perez",2014,74,69,74,64
"22","Ted Potter",2014,70,69,71,71
"23","Robert Allenby",2014,69,72,70,71
"24","Matthew Fitzpatrick",2014,71,71,69,71
"25","Martin Kaymer",2014,73,67,72,70
"26","Graeme McDowell",2014,71,69,72,70
"27","Tim Herron",2014,69,72,72,70
"28","Chris Kirk",2014,71,72,71,69
"29","Geoff Ogilvy",2014,72,68,71,72
"30","Camilo Villegas",2014,72,71,73,67
"31","Jonathan Byrd",2014,71,73,73,67
"32","K.J. Choi",2014,70,67,74,73
"33","Harris English",2014,68,73,75,68
"34","Billy Hurley",2014,70,69,73,72
"35","Jerry Kelly",2014,76,70,67,71
"36","Richard H. Lee",2014,70,69,71,74
"37","Steve Marino",2014,72,72,72,68
"38","Ricky Barnes",2014,72,73,72,68
"39","Tim Clark",2014,72,71,71,71
"40","Chesson Hadley",2014,72,67,73,73
"41","Justin Hicks",2014,75,70,68,72
"42","Charley Hoffman",2014,73,71,68,73
"43","Kevin Kisner",2014,73,72,68,72
"44","Scott Langley",2014,66,73,75,71
"45","Spencer Levin",2014,72,74,70,69
"46","Kevin Stadler",2014,71,69,72,73
"47","Brendon Todd",2014,75,71,71,68
"48","Ken Duke",2014,72,71,69,74
"49","Andrew Loupe",2014,70,73,72,71
"50","Patrick Reed",2014,71,72,70,73
"51","Chris Stroud",2014,71,71,74,70
"52","Bo Van Pelt",2014,69,70,73,74
"53","Woody Austin",2014,74,71,67,75
"54","Gonzalo Fernandez-Castano",2014,74,71,67,75
"55","Brice Garnett",2014,73,71,72,71
"56","Charles Howell",2014,69,73,74,71
"57","Shawn Stefani",2014,74,69,71,73
"58","Kevin Streelman",2014,69,72,70,76
"59","David Toms",2014,73,73,72,69
"60","Boo Weekley",2014,73,73,73,68
"61","Stewart Cink",2014,70,72,72,74
"62","Zach Johnson",2014,71,73,70,74
"63","Tim Wilkinson",2014,70,71,73,74
"64","Ernie Els",2014,72,73,73,71
"65","Tommy Gainey",2014,72,74,75,68
"66","Jeff Maggert",2014,70,76,72,71
"67","John Mallinger",2014,69,74,73,73
"68","Mark Anderson",2014,71,75,74,70
"69","Erik Compton",2014,70,75,73,72
"70","Brian Gay",2014,70,74,74,72
"71","James Hahn",2014,72,74,69,75
"72","Billy Horschel",2014,69,74,72,75
"73","Robert Garrigus",2014,71,74,71,75
"74","Brian Davis",2014,71,75,73,73
"75","Dudley Hart",2014,73,69,75,75
"76","Trevor Immelman",2014,74,69,75,74
"77","Brandt Snedeker",2014,72,73,74,73
"78","Briny Baird",2014,72,72,74,78
"79","Aaron Baddeley",2014,71,76,NA,NA
"80","Charlie Beljan",2014,73,74,NA,NA
"81","Roberto Castro",2014,75,72,NA,NA
"82","Kevin Chappell",2014,75,72,NA,NA
"83","Brendon De Jonge",2014,72,75,NA,NA
"84","David Hearn",2014,75,72,NA,NA
"85","Hunter Stewart",2014,74,73,NA,NA
"86","Josh Teater",2014,74,73,NA,NA
"87","Cameron Tringale",2014,73,74,NA,NA
"88","Mike Weir",2014,73,74,NA,NA
"89","Chad Collins",2014,73,75,NA,NA
"90","Ben Crane",2014,76,72,NA,NA
"91","Lucas Glover",2014,69,79,NA,NA
"92","Danny Lee",2014,72,76,NA,NA
"93","Marc Leishman",2014,72,76,NA,NA
"94","Justin Leonard",2014,73,75,NA,NA
"95","Hunter Mahan",2014,74,74,NA,NA
"96","Kevin Na",2014,72,76,NA,NA
"97","John Peterson",2014,77,71,NA,NA
"98","Carl Pettersson",2014,75,73,NA,NA
"99","Jim Renner",2014,75,73,NA,NA
"100","Johnson Wagner",2014,71,77,NA,NA
"101","Tom Watson",2014,75,73,NA,NA
"102","Charlie Wi",2014,73,75,NA,NA
"103","John Daly",2014,74,75,NA,NA
"104","Glen Day",2014,74,75,NA,NA
"105","Vijay Singh",2014,72,77,NA,NA
"106","Vaughn Taylor",2014,71,78,NA,NA
"107","Mark Wilson",2014,74,75,NA,NA
"108","Jason Bohn",2014,74,76,NA,NA
"109","Rick Lewallen",2014,76,74,NA,NA
"110","Davis Love",2014,70,80,NA,NA
"111","Hideki Matsuyama",2014,71,79,NA,NA
"112","Kyle Stanley",2014,77,73,NA,NA
"113","Kevin Tway",2014,70,80,NA,NA
"114","Scott Verplank",2014,75,75,NA,NA
"115","Paul Goydos",2014,75,76,NA,NA
"116","Steven Bowditch",2014,75,77,NA,NA
"117","Stephen Gallacher",2014,71,81,NA,NA
"118","Bryce Molder",2014,74,78,NA,NA
"119","Wes Roach",2014,77,75,NA,NA
"120","John Rollins",2014,72,80,NA,NA
"121","Tyrone Van Aswegen",2014,76,76,NA,NA
"122","James Driscoll",2014,77,76,NA,NA
"123","Nick Faldo",2014,77,76,NA,NA
"124","Martin Laird",2014,72,81,NA,NA
"125","Russell Henley",2014,76,78,NA,NA
"126","Will MacKenzie",2014,75,79,NA,NA
"127","Michael Putnam",2014,77,77,NA,NA
"128","Ben Curtis",2014,79,76,NA,NA
"129","Stephen Ames",2014,73,84,NA,NA
"130","Chris DiMarco",2014,76,81,NA,NA
"131","Bill Haas",2014,72,NA,NA,NA
"132","Jim Furyk",2015,71,64,68,63
